feature,baseline_f1,permuted_f1,f1_drop
electrical_stress,0.7927927927927928,0.41509433962264153,0.37769845317015127
temperature_excess,0.7927927927927928,0.47959183673469385,0.31320095605809894
reactive_power_mvar,0.7927927927927928,0.5150214592274678,0.277771333565325
power_factor,0.7927927927927928,0.532258064516129,0.2605347282766638
thd_percent,0.7927927927927928,0.6526717557251909,0.14012103706760193
rated_mva,0.7927927927927928,0.6692913385826772,0.1235014542101156
current_a,0.7927927927927928,0.6742209631728046,0.11857182961998824
criticality,0.7927927927927928,0.6956521739130435,0.09714061887974934
voltage_deviation,0.7927927927927928,0.7024952015355086,0.0902975912572842
load_percent,0.7927927927927928,0.7344992050874404,0.05829358770535242
temperature_c,0.7927927927927928,0.7402031930333817,0.05258959975941113
active_power_mw,0.7927927927927928,0.7733333333333333,0.019459459459459483
voltage_pu,0.7927927927927928,0.7741935483870968,0.018599244405696047
asset_age_years,0.7927927927927928,0.7769571639586411,0.015835628834151683
frequency_hz,0.7927927927927928,0.7814569536423841,0.0113358391504087
frequency_deviation,0.7927927927927928,0.802675585284281,-0.009882792491488157
