timestamp,asset_id,fault_type,actual_failure,failure_probability,prediction,risk_score,risk_level,ml_score,operational_score
2026-01-01T00:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T00:15:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T00:30:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T00:45:00,T01,normal,0,0.0,NORMAL,8.8,LOW,0.0,22.0
2026-01-01T01:00:00,T01,normal,0,0.0,NORMAL,8.4,LOW,0.0,21.0
2026-01-01T01:15:00,T01,overload,0,1e-05,NORMAL,16.4,LOW,0.0,41.0
2026-01-01T01:30:00,T01,overload,0,0.0,NORMAL,9.2,LOW,0.0,23.0
2026-01-01T01:45:00,T01,harmonic_distortion,0,0.0,NORMAL,14.8,LOW,0.0,37.0
2026-01-01T02:00:00,T01,normal,0,0.0,NORMAL,8.4,LOW,0.0,21.0
2026-01-01T02:15:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T02:30:00,T01,voltage_instability,0,4e-06,NORMAL,10.4,LOW,0.0,26.0
2026-01-01T02:45:00,T01,voltage_instability,0,0.481262,NORMAL,49.28,MEDIUM,28.88,51.0
2026-01-01T03:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T03:15:00,T01,normal,0,0.0,NORMAL,8.8,LOW,0.0,22.0
2026-01-01T03:30:00,T01,normal,0,0.0,NORMAL,10.8,LOW,0.0,27.0
2026-01-01T03:45:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T04:00:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T04:15:00,T01,normal,0,0.0,NORMAL,10.8,LOW,0.0,27.0
2026-01-01T04:30:00,T01,overload,0,0.0,NORMAL,7.2,LOW,0.0,18.0
2026-01-01T04:45:00,T01,overload,0,0.0,NORMAL,11.6,LOW,0.0,29.0
2026-01-01T05:00:00,T01,normal,0,0.0,NORMAL,8.4,LOW,0.0,21.0
2026-01-01T05:15:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T05:30:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T05:45:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T06:00:00,T01,normal,0,0.0,NORMAL,8.8,LOW,0.0,22.0
2026-01-01T06:15:00,T01,normal,0,0.0,NORMAL,6.0,LOW,0.0,15.0
2026-01-01T06:30:00,T01,normal,0,0.0,NORMAL,8.8,LOW,0.0,22.0
2026-01-01T06:45:00,T01,overload,0,3.3e-05,NORMAL,35.0,MEDIUM,0.0,40.0
2026-01-01T07:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T07:15:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T07:30:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T07:45:00,T01,normal,0,0.0,NORMAL,8.8,LOW,0.0,22.0
2026-01-01T08:00:00,T01,harmonic_distortion,1,0.998344,FAILURE,77.5,CRITICAL,59.9,44.0
2026-01-01T08:15:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T08:30:00,T01,overheating,0,0.0,NORMAL,17.2,LOW,0.0,43.0
2026-01-01T08:45:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T09:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T09:15:00,T01,normal,0,0.0,NORMAL,6.0,LOW,0.0,15.0
2026-01-01T09:30:00,T01,overheating,0,0.0,NORMAL,12.8,LOW,0.0,32.0
2026-01-01T09:45:00,T01,normal,0,0.0,NORMAL,8.8,LOW,0.0,22.0
2026-01-01T10:00:00,T01,normal,0,0.0,NORMAL,6.0,LOW,0.0,15.0
2026-01-01T10:15:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T10:30:00,T01,overheating,0,5e-06,NORMAL,15.2,LOW,0.0,38.0
2026-01-01T10:45:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T11:00:00,T01,overheating,0,0.0,NORMAL,8.0,LOW,0.0,20.0
2026-01-01T11:15:00,T01,voltage_instability,1,0.963666,FAILURE,78.62,CRITICAL,57.82,52.0
2026-01-01T11:30:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T11:45:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T12:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T12:15:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T12:30:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T12:45:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T13:00:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T13:15:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T13:30:00,T01,overheating,0,0.0,NORMAL,13.6,LOW,0.0,34.0
2026-01-01T13:45:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T14:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T14:15:00,T01,overload,0,0.180064,NORMAL,36.0,MEDIUM,10.8,63.0
2026-01-01T14:30:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T14:45:00,T01,harmonic_distortion,0,3e-06,NORMAL,12.8,LOW,0.0,32.0
2026-01-01T15:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T15:15:00,T01,normal,0,0.0,NORMAL,8.8,LOW,0.0,22.0
2026-01-01T15:30:00,T01,normal,0,0.0,NORMAL,8.8,LOW,0.0,22.0
2026-01-01T15:45:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T16:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T16:15:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T16:30:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T16:45:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T17:00:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T17:15:00,T01,normal,0,0.0,NORMAL,6.0,LOW,0.0,15.0
2026-01-01T17:30:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T17:45:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T18:00:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T18:15:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T18:30:00,T01,normal,0,0.0,NORMAL,4.0,LOW,0.0,10.0
2026-01-01T18:45:00,T01,normal,0,0.0,NORMAL,6.4,LOW,0.0,16.0
2026-01-01T19:00:00,T01,overheating,1,0.987661,FAILURE,80.06,CRITICAL,59.26,52.0
